URL,Bug Type,Language,Component,Framework,Root Cause,Effect,Rational,Accepted Answer
https://discuss.huggingface.co/t/running-into-cuda-out-of-memory-when-running-llama2-13b-chat-model-on-multi-gpu-machine/51041,System Limitation Bug (SLB),Python,Other,Custom,Others,Crash,"BT: So you need enough VRAM on such gpu
RC: User's issue. Not realted to LLM agent.
ET: Throws torch.cuda.OutOfMemoryError",True
https://discuss.huggingface.co/t/huggingface-embeddings-cache-folder-error-when-trying-to-deploy-fastapi-app-in-huggingface-spaces/64370,Configuration Bug (CB),Python,Tools,Custom,Incorrect or Missing Control Flow-Missing Flow (IMCF.MF),Crash,"BT: Did not configured environment variable
RC: Missed flow of setting up cache directory
ET: Throws error: There was a problem when trying to write in your cache folder (/.cache/huggingface/hub)
ER: You can specify the cache directory whenever you load a model with .from_pretrained by setting the parameter cache_dir.
https://stackoverflow.com/questions/63312859/how-to-change-huggingface-transformers-default-cache-directory",False
https://discuss.huggingface.co/t/ssl-certificates-error/67127,API Bug (APIB),Python,Agent Core,Langchain,Requirement Violation (RV),Crash,"BT: Library not installed
RC: Did not install python-certifi-win32
ET: Throws SSL Certificates Error
ER:  on windows - pip install python-certifi-win32
https://discuss.huggingface.co/t/ssl-certificate-issue/51405/6",False
https://discuss.huggingface.co/t/flan-t5-fine-tuning-error/56803,Configuration Bug (CB),Python,Tools,Langchain,Incorrect or Missing Parameter Value-Incorrect Value (IMP.IV),Crash,"BT: From the code, it is clear that example['input_ids'] is initialized with batch of tensors, not list of arrays
RC: Passed return_tensors=""pt"" in the argument that returned unexpected output
ET: Throws ValueError",True
https://discuss.huggingface.co/t/falcon-7b-response-toxicity-check-using-trulens/47972,Configuration Bug (CB),Python,Agent Core,Langchain,Incorrect or Missing Parameter Value-Incorrect Value (IMP.IV),Partial Output (PO),"BT: HuggingFaceHub configured without max_new_tokens
RC: Missed max_new_tokens
ET: Response is truncated",True
https://discuss.huggingface.co/t/readtimeouterror-when-loading-model/112481,System Limitation Bug (SLB),Python,Other,Langchain,Others,Crash,"BT: Yours appears to be a network, mainly SSL issue.
RC: Not realted to LLM 
ET: Throws ReadTimeoutError",True
https://discuss.huggingface.co/t/retrievalqa-output-repeats-prompt-and-context-sources/99587,Initialization Bug (IB),Python,Agent Core,Langchain,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Incorrect Output (IO),"BT: LLM initiated incorrectly
RC: Incorrect flow of setting up an LLM
ET:  The output includes the prompt and also list all the context 
ER: That's how model.generate() works. You could use model.pipeline() instead with return_full_text=False
https://huggingface.co/TheBloke/Llama-2-70B-Chat-GPTQ/discussions/25",True
https://discuss.huggingface.co/t/module-not-found-error-langchain-huggingface/94764,API Bug (APIB),Python,Other,Langchain,Others,Crash,"BT: From the post, it looks like the langchain_huggingface was not installed correctly
RC: langchain_huggingface not installed 
ET: Throws Module not found error
ER: The solution is to install jupyter from within the activated venv.
https://discuss.huggingface.co/t/langchain-huggingface/92212",False
https://discuss.huggingface.co/t/outofmemoryerror-cuda-out-of-memory-tried-to-allocate-64-00-mib-gpu/90533,Logic Bug (LB),Python,Agent Core,Langchain,API Misuse-Wrong API Context (AM.WAC),Crash,"BT: Wrong module used for the task
RC: Incorrect understanding of torch.nn.DataParallel
ET: Throws OutOfMemoryError
ER: It is recommended to use DistributedDataParallel, instead of this class, to do multi-GPU training
https://docs.pytorch.org/docs/stable/generated/torch.nn.DataParallel.html",True
https://discuss.huggingface.co/t/issues-regarding-using-model-google-t-5-large/93740,Logic Bug (LB),Python,Agent Core,Langchain,Incorrect or Missing Control Flow-Incorrect Flow (IMCF.IF),Crash,"BT: From the code, it is clear that there is error in the logic of selecting flan-tf
RC: if selected_model == ‘flan-t5’: block never executed because ‘flan-t5. is not in the st.radio list 
ET: Throws BadRequestError",False
https://discuss.huggingface.co/t/getting-empty-response-from-meta-llama-meta-llama-3-8b/84493,Prompting Bug (PPB),Python,Agent Core,Langchain,Incorrect Instruction-Prompt Construction (II.PC),Empty Response (ER),"BT: The way the prompt is formatted when using context and question variables was the issue.
RC: Prompt formatting is incorrect 
ET:  Returns empty response",True
https://discuss.huggingface.co/t/typeerror-generationmixin-get-logits-warper-missing-1-required-positional-argument-device/95691,API Bug (APIB),Python,Agent Core,Langchain,Requirement Violation (RV),Crash,"BT: This bug caused by wrong version of lagnet
RC: Wrong version of module used
ET: Throws TypeError",True
https://discuss.huggingface.co/t/attributeerror-chatpromptvalue-object-has-no-attribute-size/71895,Prompting Bug (PPB),Python,Agent Core,Langchain,Incorrect Instruction-Instruction Logic (II.IL),Crash,"BT: You also need to pass in values for your prompt.
RC: Did not pass the prompt variables
ET: Throws AttributeError",True
https://discuss.huggingface.co/t/batch-size-limit-32/82471,API Bug (APIB),Python,Tools,Langchain,API Limitation (AL),Crash,"BT: Already Raised PR few months ago
RC: Issue in the library
ET: Throws error maximum allowed batch size 32",True
https://discuss.huggingface.co/t/langchain-huggingface/92212,Argument Bug (AB),Python,Other,Langchain,Others,Crash,"BT: The solution is to install jupyter from within the activated venv
RC: Not realted to LLM agent  
ET: Throws ModuleNotFoundError",True
https://discuss.huggingface.co/t/huggingface-hub-utils-errors-hfhubhttperror-404-client-error-not-found-for-url/161277,Availability Bug (AVB),Python,Agent Core,Custom,API Limitation (AL),Crash,"BT: From the error log, it looks like that bigscience/bloomz-560m was not available at the time of the request
RC: Model was not available at the time of the request
ET: Throws 404 Client Error",False
https://discuss.huggingface.co/t/401-client-error-unauthorized-for-url-https-huggingface-co-api-whoami-v2/93981,Availability Bug (AVB),Python,Other,Langchain,Others,Crash,"BT: From the error log, it looks like the issue is the HF token is expired or incorrect
RC: Not realted to LLM agent
ET: Throws 401 Client Error",False
https://discuss.huggingface.co/t/query-execution-with-hugging-face-pipeline-is-happening-on-cpu-even-if-model-is-loaded-on-gpu/41411,Configuration Bug (CB),Python,Agent Core,Langchain,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Resource Overuse (RO),"BT: From the code, it is clear that the tokenization and other parts are running in CPU, not set device_map
RC: Missed to set parameters device_map (used default)
ET: CPU usages spikes while calling LLM",False
https://discuss.huggingface.co/t/how-to-implement-chatbot-streaming-with-a-function/43395,Logic Bug (LB),Python,Agent Core,LlamaIndex,API Misuse-Wrong API Context (AM.WAC),Crash,"BT: Tried to iterate through bot_message, a non-iterable
RC: Incorrect understanding about the return response of query_engine.query
ET: Throws TypeError
ER: A query engine takes in a natural language query, and returns a rich response
https://discuss.huggingface.co/t/how-to-implement-chatbot-streaming-with-a-function/43395",False
https://discuss.huggingface.co/t/getting-issue-on-query-engine-for-llm-completion-callback/82780,Configuration Bug (CB),Python,Agent Core,LlamaIndex,Incorrect or Missing Parameter Value-Missing Value (IMP.MV),Crash,"BT: index.as_query_engine missed LLM parameter
RC: as_query_engine missed optional parameter
ET: Throws ValueError",True
